state,updated,cases,todayCases,deaths,todayDeaths,recovered,active,casesPerOneMillion,deathsPerOneMillion,tests,testsPerOneMillion,population
California,1666633771129,11337474,0,96874,0,0,175631,286936,2452,187393121,4742662,39512223
Texas,1666633771129,7989735,0,91584,0,0,62536,275547,3159,72733896,2508422,28995881
Florida,1666633771129,7189354,0,82065,0,0,39214,334735,3821,63551057,2958927,21477737
New York,1666633771129,6388383,0,72860,0,0,48723,328391,3745,121126929,6226466,19453561
Illinois,1666633771129,3796038,0,39899,0,0,57385,299565,3149,57898053,4569040,12671821
Pennsylvania,1666633771129,3291033,0,47582,0,0,28915,257072,3717,28700044,2241843,12801989
North Carolina,1666633771129,3220858,0,26885,0,3176667,17306,307097,2563,26356209,2512967,10488084
Ohio,1666633771129,3173375,0,40111,0,3100739,32525,271482,3431,23585984,2017776,11689100
Georgia,1666633771129,2917301,0,40552,0,0,16900,274765,3819,27258446,2567332,10617423
Michigan,1666633771129,2874009,0,39092,0,0,48327,287779,3914,27333934,2736991,9986857
New Jersey,1666633771129,2782828,0,34860,0,0,109695,313304,3925,31842118,3584940,8882190
Tennessee,1666633771129,2351887,0,28017,0,0,4232,344388,4103,13877806,2032135,6829174
Arizona,1666633771129,2283073,0,31514,0,0,12971,313664,4330,20996833,2884689,7278717
Virginia,1666633771129,2110071,0,22108,0,0,28454,247211,2590,19172533,2246206,8535519
Massachusetts,1666633771129,2078225,0,21923,0,0,12220,301520,3181,47975492,6960533,6892503
Indiana,1666633771129,1933102,0,24863,0,1734855,173384,287142,3693,21131502,3138861,6732219
Wisconsin,1666633771130,1888012,0,15398,0,0,28146,324265,2645,18168221,3120382,5822434
Washington,1666633771130,1830508,0,14493,0,0,22256,240385,1903,17622422,2314205,7614893
South Carolina,1666633771130,1718600,0,18527,0,0,52812,333792,3598,17810134,3459142,5148714
Minnesota,1666633771130,1680916,0,13786,0,0,3405,298054,2444,23545328,4174976,5639632
Colorado,1666633771130,1667979,0,14113,0,0,28022,289643,2451,20433348,3548235,5758736
Missouri,1666633771130,1660094,0,21600,0,0,31776,270487,3519,14632189,2384091,6137428
Kentucky,1666633771130,1602636,0,17225,0,0,37623,358718,3855,13675281,3060940,4467673
Alabama,1666633771130,1530803,0,20526,0,0,71819,312206,4186,8445627,1722478,4903185
Louisiana,1666633771130,1459866,0,18138,0,0,5416,314031,3902,16962364,3648767,4648794
Maryland,1666633771130,1263279,0,15506,0,0,18532,208956,2565,23354686,3863037,6045680
Oklahoma,1666633771130,1205511,0,14943,0,1186217,4351,304655,3776,5473577,1383274,3956971
Utah,1666633771130,1043353,0,5047,0,1032526,5780,325442,1574,9406861,2934181,3205958
Iowa,1666633771130,989194,0,10152,0,0,16960,313525,3218,8492575,2691723,3155070
Arkansas,1666633771130,957914,0,12425,0,942195,3294,317421,4117,7610825,2521975,3017804
Mississippi,1666633771130,930438,0,12945,0,0,4041,312632,4350,7063623,2373410,2976149
Connecticut,1666633771130,907038,0,11420,0,0,18640,254408,3203,15893571,4457866,3565287
Oregon,1666633771130,905882,0,8645,0,0,23178,214779,2050,12508506,2965691,4217737
Kansas,1666633771130,884969,0,9601,0,864674,10694,303767,3296,5771365,1981031,2913314
Nevada,1666633771130,851300,0,11544,0,0,8704,276382,3748,6875532,2232203,3080156
New Mexico,1666633771130,624419,0,8620,0,601045,14754,297792,4111,8003026,3816728,2096829
West Virginia,1666633771130,605830,0,7487,0,597468,875,338047,4178,6963122,3885352,1792147
Nebraska,1666633771130,540345,0,4559,0,0,4103,279334,2357,5506012,2846355,1934408
Idaho,1666633771130,498808,0,5203,0,0,5732,279121,2911,3173308,1775709,1787065
Rhode Island,1666633771130,425461,0,3669,0,0,1836,401620,3463,8285215,7820955,1059361
Hawaii,1666633771130,360490,0,1702,0,0,5854,254606,1202,4101166,2896566,1415872
New Hampshire,1666633771130,355434,0,2731,0,0,2939,261404,2009,4845153,3563370,1359711
Montana,1666633771130,313809,0,3569,0,309118,1122,293615,3339,2789012,2609534,1068778
Delaware,1666633771130,312019,0,3136,0,0,4749,320426,3220,1026007,1053651,973764
Maine,1666633771130,295766,0,2635,0,0,7810,220029,1960,5728648,4261715,1344212
Alaska,1666633771130,284423,0,1356,0,0,2095,388798,1854,4632994,6333163,731545
North Dakota,1666633771130,271085,0,2387,0,0,797,355726,3132,618121,811116,762062
South Dakota,1666633771194,263468,0,3049,0,0,0,297819,3447,2331003,2634917,884659
Wyoming,1666633771195,178032,0,1906,0,0,865,307610,3293,1525001,2634950,578759
District Of Columbia,1666633771195,169436,0,1392,0,0,1579,240080,1972,3067883,4346989,705749
Vermont,1666633771195,144346,0,734,0,140913,2699,231328,1176,4110152,6586898,623989
Puerto Rico,1666633771195,974706,0,5233,0,0,26390,287784,1545,4684812,1383199,3386941
Guam,1666633771195,58703,0,401,0,58260,42,0,0,580449,0,0
United States Virgin Islands,1666633771195,23283,0,123,0,23116,44,0,0,473173,0,0
Northern Mariana Islands,1666633771195,13202,0,41,0,0,0,0,0,141159,0,0
American Samoa,1666633771195,8251,0,34,0,0,0,0,0,16964,0,0
Veteran Affairs,1666633771195,781720,0,23217,0,752429,6074,0,0,8626902,0,0
US Military,1666633771195,742808,0,689,0,0,0,0,0,0,0,0
Navajo Nation,1666633771195,75556,0,1929,0,0,0,0,0,607770,0,0
Federal Prisons,1666633771195,70939,0,316,0,0,290,0,0,129677,0,0
Grand Princess Ship,1666633771195,122,0,7,0,115,0,0,0,0,0,0
Wuhan Repatriated,1666633771195,3,0,0,0,3,0,0,0,3,0,0
Diamond Princess Ship,1666633771195,46,0,0,0,46,0,0,0,46,0,0
